label,centroid
38,"[-2.11142879  1.47966491 -1.76561091  0.75296725 -2.73188188  0.56120878
 -1.51395236 -1.60823663  2.17475446 -0.70511903  2.46181785  1.68901825
  3.38731723  1.25958453  1.79158783 -1.44855372 -0.88934146 -2.38477919
  1.08142832 -1.37148868 -2.70402061 -1.8337699   0.45405722  2.09198761
 -1.81710561 -0.35422209 -0.50731426  2.83517583 -0.71646224 -1.41972415
  2.80917761 -2.43475278]"
39,"[-0.46348413  2.52645874 -2.88301304  0.70024793 -2.09301996 -0.98953822
  0.13515766  0.14872555  0.64091432 -2.33838307  1.01356229  1.95372683
  3.01030365  1.80241711  3.1540781  -0.35800302 -2.45648174 -3.50659774
  1.69623576 -2.89900128 -0.98424837 -2.67383407 -0.66145488  2.61118881
 -1.05027573 -1.43700359  0.77845838  1.68177122  1.26389442 -2.03545826
  0.75937227 -0.03820435]"
40,"[ 1.23150969 -0.78601271  0.79908073 -1.94378805  1.28055751  2.64118624
  1.3280493   2.65642929 -1.12871289  0.52387786 -2.2025888  -1.72144639
 -1.6956073  -2.9739337  -0.3529934  -0.14322755  0.78089982 -0.9089511
 -1.40998316  1.27019715  2.28892159  2.29575229  0.27253509 -1.76584756
  3.62114     0.91444457  0.39590999 -2.33842659  0.36422896  3.28991985
 -0.27949318  0.49697733]"
41,"[ 3.7585658   4.18741126 -3.28445896  0.83991588  1.9575894  -2.97746478
  3.77938401  1.49489784 -3.57793266 -3.31665079 -3.16049516  2.3073618
 -0.97641282  1.91482504  2.33849355  2.11439414 -3.52619934 -1.5117584
  2.83920107 -3.18582695  4.07399228 -3.03890329 -2.74414585  2.98748719
  0.63398472 -3.07358069  3.89047803 -2.8614516   2.9092349  -2.69449856
 -2.99990283  3.86310738]"
42,"[ 1.93479404  0.81429758 -0.97722263 -2.75644569 -0.01488999  2.14384937
  2.05160904  3.34278374 -1.46475229 -1.37357512 -1.46968288 -0.32182348
 -0.10161097 -1.47367496  1.87184906  0.54101782 -0.92059288 -3.10439911
 -0.23462362 -0.75042048  1.64102764  0.15694237 -1.2811327   0.06763851
  2.94608955 -0.50766606  1.12536659 -2.08601513  1.97387962  1.52805576
  0.24337778  0.47403483]"
43,"[-3.78408275 -3.52664412  3.38609452  1.69542236  2.57131683  1.93086117
 -3.356295   -3.13988444  3.7114928   3.82513164 -0.91020909 -3.59078202
 -2.64135024 -4.46333247 -3.39778981 -4.06948577  4.09448194  2.86202752
 -3.3624763   4.03116048  0.28926706  4.2802045   3.91037574 -3.74533572
 -0.5580427   4.34045458 -3.74406092  2.42171415 -4.0720526   4.2034194
  0.28737829 -1.03998808]"
44,"[-2.17779459  1.19453485 -1.4795035   0.51545688 -2.59552956  1.0324222
 -1.60238593 -1.60216495  2.24524416 -0.39725866  2.46453639  1.42068768
  3.15327045  0.87912696  1.50819969 -1.58510753 -0.53897347 -2.16615677
  0.80469608 -1.00097166 -2.71101407 -1.47670296  0.59759235  1.79441125
 -1.61536816 -0.0803604  -0.67395817  2.70718466 -0.91277947 -1.03226321
  3.04376139 -2.72109549]"
45,"[ 3.18569183  4.08226974 -2.45923332  1.78592103  2.90423782 -3.17730769
  2.89013926 -0.02365592 -2.97816269 -2.15255695 -3.63776256  2.90142879
 -1.70207836  2.68682946  1.11380302  2.75721628 -2.49837635 -0.08506167
  3.59262396 -1.89079553  4.23881248 -2.31660998 -3.34445784  2.77608773
 -0.23035095 -3.54105858  3.23439111 -2.4182759   1.47722315 -2.58819891
 -3.64601361  2.89502405]"
46,"[ 1.98910856  0.30929488 -0.3694517  -1.92672992  0.88059944  1.57594812
  2.09779239  3.26571059 -1.73751485 -0.78266966 -2.17546225 -0.93156004
 -1.03285432 -1.86579156  0.89621866  0.53223336 -0.54189688 -1.94031549
 -0.56910563 -0.16054498  2.39024305  0.94416904 -0.61610287 -0.7038424
  3.34715223 -0.10528223  1.16739202 -2.48834991  1.60384274  2.0433507
 -0.74540406  1.27596748]"
47,"[ 0.28075932 -0.04148037 -0.12869205 -2.53716513 -0.48116974  3.44360322
  0.404771    1.43640313  0.19151799  0.0477239  -0.03639651 -0.5344728
  0.27542648 -1.96384136  0.75362822 -0.65465575  0.5055546  -2.0456719
 -0.78956237  0.48981472  0.09145324  0.77697871 -0.22652336 -0.2975228
  1.8939162   0.61613618 -0.20304671 -0.71054077  0.19466318  1.9132284
  2.07296401 -1.70650717]"
49,"[ 1.47779687  0.58233094 -0.74261491 -3.06011963 -0.36483371  2.80127112
  1.53172747  2.84963799 -0.89874093 -1.02405047 -0.98105812 -0.31089618
  0.17775679 -1.66491858  1.71944459  0.22027338 -0.47460624 -3.16006311
 -0.41577121 -0.36304279  1.06112361  0.28792397 -1.17518195  0.04066683
  2.64071576 -0.24637006  0.64209382 -1.62820387  1.49016142  1.70820904
  1.01019065 -0.35985386]"
50,"[ 1.02119287  1.16309643 -1.3783048  -2.38483641 -1.03206995  2.06668282
  1.17482938  2.33270645 -0.50691493 -1.4190303  -0.35211367  0.33205485
  1.10191133 -0.79689884  2.24877463  0.07928148 -0.99492497 -3.55754979
  0.10200983 -1.04620955  0.43471678 -0.54025221 -1.173865    0.81060166
  1.81108136 -0.62027391  0.68802553 -0.80661074  1.53833612  0.81085465
  1.2101717  -0.47748894]"
51,"[ 3.20762825  3.11423029 -3.09777342 -0.77349315  0.75112384 -1.42376791
  3.48208754  3.21108409 -2.92774282 -3.54172461 -2.39379202  1.15188313
 -0.13549359  0.72985336  3.29418782  1.57502569 -3.39718137 -3.24468667
  1.59804753 -3.3291081   3.01941763 -2.3672905  -2.35709626  2.03078801
  1.72415257 -2.29094151  2.98689842 -2.46266828  3.66714314 -1.26913983
 -2.01929746  3.1989648 ]"
52,"[ 1.91497972  3.53168911 -0.89043419  2.96236222  4.07040179 -3.00068071
  1.16782294 -2.28207496 -1.69147576 -0.13127245 -4.1120241   3.51451987
 -2.63035979  3.632665   -0.84651149  3.61644801 -0.56808359  1.96068135
  4.44711417  0.39470489  4.11214673 -0.82909422 -4.0649236   2.0948841
 -1.48617116 -4.01539047  1.77807547 -1.43349047 -0.8776551  -2.01064597
 -4.33332203  0.91068254]"
53,"[-2.28112284 -1.73331794  1.55745664 -0.48600166  0.48227929  3.57888462
 -1.92098645 -1.39178323  2.33615466  2.26446821  0.65939563 -1.86231796
 -0.64351184 -3.01956929 -1.56766455 -2.62795291  2.58825418  0.8105853
 -1.99614439  2.36302517 -0.85758889  2.3760104   2.13463847 -1.79163504
  0.38636799  2.64731211 -2.13534988  1.14623659 -2.35600126  2.80930826
  2.53812066 -2.89598238]"
